Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,City,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
9360,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,India,Karnataka,Bangalore,South,FUR-FU-10000747,Furniture,MCBs & DBs,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,0,Online
2885,CA-2019-164483,30-01-2019,03-02-2019,Standard Class,JF-15490,Jeremy Farry,Consumer,India,Kerela,Kerela,South,OFF-BI-10000014,Office Supplies,Wire and Cables,Heavy-Duty E-Z-D Wire and Cables,17.456,2,5.8914,0,COD
7291,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,Steven Cartwright,Consumer,India,Kerela,Kerela,South,OFF-BI-10004781,Office Supplies,Wire and Cables,GBC Wire Binding Strips,50.784,2,17.7744,0,Online
4999,CA-2019-129238,31-01-2019,04-02-2019,Standard Class,SC-20050,Sample Company A,Home Office,India,Kerela,Kerela,South,TEC-PH-10004120,Technology,LED,AT&T 1080 Phone,109.592,1,8.2194,0,Cards
8145,CA-2019-100993,05-02-2019,10-02-2019,Standard Class,AZ-10750,Annie Zypern,Consumer,India,Kerela,Kerela,South,TEC-PH-10001448,Technology,LED,Anker Astro 15000mAh USB Portable Charger,159.968,4,-31.9936,0,COD
9115,CA-2019-135461,07-02-2019,10-02-2019,Second Class,EB-13975,Erica Bern,Corporate,India,Kerela,Kerela,South,TEC-PH-10004094,Technology,LED,Motorola L703CM,623.96,5,38.9975,0,COD
8842,US-2019-112396,09-02-2019,13-02-2019,Standard Class,JR-16210,Justin Ritter,Corporate,India,Kerela,Kerela,South,TEC-AC-10003628,Technology,Electrical Fans,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,0,COD
8843,US-2019-112396,09-02-2019,13-02-2019,Standard Class,JR-16210,Justin Ritter,Corporate,India,Kerela,Kerela,South,TEC-AC-10004761,Technology,Electrical Fans,Maxell 4.7GB DVD+RW 3/Pack,31.86,2,11.151,0,COD
1243,US-2019-162859,15-02-2019,22-02-2019,Standard Class,PG-18820,Patrick Gardner,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10004519,Office Supplies,Wire and Cables,GBC DocuBind P100 Manual Binding Machine,398.352,3,124.485,0,COD
9722,CA-2019-105781,16-02-2019,20-02-2019,Standard Class,JF-15565,Jill Fjeld,Consumer,India,Karnataka,Bangalore,South,FUR-CH-10001802,Furniture,Modular Switches,Hon Every-Day Chair Series Swivel Task Modular Switches,326.646,3,39.9234,0,Online
9723,CA-2019-105781,16-02-2019,20-02-2019,Standard Class,JF-15565,Jill Fjeld,Consumer,India,Karnataka,Bangalore,South,TEC-AC-10003628,Technology,Electrical Fans,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,0,Online
854,CA-2019-123274,19-02-2019,24-02-2019,Standard Class,GT-14710,Greg Tran,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10004090,Furniture,MCBs & DBs,"Executive Impressions 14"" Contract Wall Clock",44.46,2,14.6718,0,COD
2989,CA-2019-139010,21-02-2019,26-02-2019,Second Class,MC-17635,Matthew Clasen,Corporate,India,Kerela,Kerela,South,TEC-AC-10004227,Technology,Electrical Fans,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,12.99,1,0.7794,0,COD
2990,CA-2019-139010,21-02-2019,26-02-2019,Second Class,MC-17635,Matthew Clasen,Corporate,India,Kerela,Kerela,South,OFF-BI-10000174,Office Supplies,Wire and Cables,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Wire and Cables, Clear",18.56,4,6.496,0,Online
2992,CA-2019-139010,21-02-2019,26-02-2019,Second Class,MC-17635,Matthew Clasen,Corporate,India,Kerela,Kerela,South,OFF-BI-10002309,Office Supplies,Wire and Cables,Avery Heavy-Duty EZD Binder With Locking Rings,31.248,7,10.9368,0,COD
5306,US-2019-168410,21-02-2019,26-02-2019,Standard Class,BV-11245,Benjamin Venier,Corporate,India,Karnataka,Bangalore,South,FUR-FU-10000629,Furniture,MCBs & DBs,9-3/4 Diameter Round Wall Clock,68.95,5,28.959,0,COD
5308,US-2019-168410,21-02-2019,26-02-2019,Standard Class,BV-11245,Benjamin Venier,Corporate,India,Karnataka,Bangalore,South,TEC-PH-10002583,Technology,LED,iOttie HLCRIO102 Car Mount,39.98,2,1.999,0,COD
9013,CA-2019-121447,21-02-2019,22-02-2019,First Class,EA-14035,Erin Ashbrook,Corporate,India,Karnataka,Bangalore,South,FUR-FU-10001861,Furniture,MCBs & DBs,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",135.8,7,66.542,0,COD
5405,US-2019-143280,22-02-2019,26-02-2019,Standard Class,TZ-21580,Tracy Zic,Consumer,India,Kerela,Kerela,South,TEC-PH-10002398,Technology,LED,AT&T 1070 Corded Phone,445.96,5,55.745,0,COD
5406,US-2019-143280,22-02-2019,26-02-2019,Standard Class,TZ-21580,Tracy Zic,Consumer,India,Kerela,Kerela,South,TEC-AC-10003399,Technology,Electrical Fans,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,15.2208,0,COD
1579,CA-2019-102456,27-02-2019,01-03-2019,First Class,DL-12865,Dan Lawera,Consumer,India,Karnataka,Bangalore,South,OFF-AP-10004336,Office Supplies,Home Automation,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",170.88,3,49.5552,0,COD
4749,CA-2019-120005,03-03-2019,03-03-2019,Same Day,TS-21160,Theresa Swint,Corporate,India,Kerela,Kerela,South,FUR-FU-10000672,Furniture,MCBs & DBs,"Executive Impressions 10"" Spectator Wall Clock",35.28,3,11.9952,0,Online
7234,CA-2019-137337,08-03-2019,12-03-2019,Standard Class,GB-14575,Giulietta Baptist,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10003347,Furniture,MCBs & DBs,Coloredge Poster Frame,113.6,8,44.304,0,Cards
7236,CA-2019-137337,08-03-2019,12-03-2019,Standard Class,GB-14575,Giulietta Baptist,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10000632,Office Supplies,Wire and Cables,Satellite Sectional Post Wire and Cables,69.456,2,22.5732,0,Cards
6015,CA-2019-159016,10-03-2019,11-03-2019,First Class,KF-16285,Karen Ferguson,Home Office,India,Kerela,Kerela,South,TEC-PH-10002885,Technology,LED,Apple iPhone 5,4158.912,8,363.9048,0,Cards
8100,CA-2019-169663,10-03-2019,13-03-2019,First Class,RH-19510,Rick Huthwaite,Home Office,India,Kerela,Kerela,South,TEC-AC-10003038,Technology,Electrical Fans,Kingston Digital DataTraveler 16GB USB 2.0,26.85,3,5.1015,0,Online
5958,CA-2019-127138,12-03-2019,15-03-2019,Second Class,DK-13225,Dean Katz,Corporate,India,Kerela,Kerela,South,OFF-AP-10003842,Office Supplies,Home Automation,Euro-Pro Shark Turbo Vacuum,154.9,5,40.274,0,Cards
5960,CA-2019-127138,12-03-2019,15-03-2019,Second Class,DK-13225,Dean Katz,Corporate,India,Kerela,Kerela,South,FUR-CH-10003746,Furniture,Modular Switches,Hon 4070 Series Pagoda Round Back Stacking Modular Switches,770.352,3,77.0352,0,Online
5884,CA-2019-136301,13-03-2019,15-03-2019,Second Class,EH-13765,Edward Hooks,Corporate,India,Kerela,Kerela,South,FUR-FU-10004712,Furniture,MCBs & DBs,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",28.28,2,7.3528,0,COD
9343,CA-2019-119123,13-03-2019,18-03-2019,Standard Class,DB-13360,Dennis Bolton,Home Office,India,Kerela,Kerela,South,OFF-BI-10001036,Office Supplies,Wire and Cables,Cardinal EasyOpen D-Ring Wire and Cables,51.184,7,19.194,0,Cards
6116,CA-2019-133802,14-03-2019,20-03-2019,Standard Class,SP-20650,Stephanie Phelps,Corporate,India,Kerela,Kerela,South,OFF-BI-10003291,Office Supplies,Wire and Cables,Wilson Jones Leather-Like Wire and Cables with DublLock Round Rings,41.904,6,14.1426,0,COD
7648,CA-2019-138968,15-03-2019,16-03-2019,First Class,FC-14335,Fred Chung,Corporate,India,Kerela,Kerela,South,OFF-BI-10003529,Office Supplies,Wire and Cables,Avery Round Ring Poly Wire and Cables,4.544,2,1.6472,0,Online
7649,CA-2019-138968,15-03-2019,16-03-2019,First Class,FC-14335,Fred Chung,Corporate,India,Kerela,Kerela,South,FUR-CH-10000309,Furniture,Modular Switches,Global Comet Stacking Arm Chair,1352.032,4,84.502,0,Online
8382,CA-2019-134544,17-03-2019,19-03-2019,Second Class,AC-10660,Anna Chung,Consumer,India,Kerela,Kerela,South,TEC-PH-10003800,Technology,LED,i.Sound Portable Power - 8000 mAh,84.784,2,-20.1362,0,COD
2853,CA-2019-136371,19-03-2019,21-03-2019,Second Class,SV-20935,Susan Vittorini,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10000409,Furniture,MCBs & DBs,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,1,6.8908,0,Online
2854,CA-2019-136371,19-03-2019,21-03-2019,Second Class,SV-20935,Susan Vittorini,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10000221,Furniture,MCBs & DBs,"Master Caster Door Stop, Brown",20.32,4,6.9088,0,Online
9019,CA-2019-161361,26-03-2019,28-03-2019,Second Class,MV-17485,Mark Van Huff,Consumer,India,Tamil Nadu,Madurai,South,OFF-BI-10002215,Office Supplies,Wire and Cables,"Wilson Jones Hanging View Binder, White, 1""",17.04,3,5.538,0,COD
3974,CA-2019-167556,29-03-2019,02-04-2019,Standard Class,JM-15250,Janet Martin,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10003708,Office Supplies,Wire and Cables,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",29.8,5,9.3125,0,COD
3975,CA-2019-167556,29-03-2019,02-04-2019,Standard Class,JM-15250,Janet Martin,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10004848,Furniture,MCBs & DBs,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",414,8,124.2,0,COD
3976,CA-2019-167556,29-03-2019,02-04-2019,Standard Class,JM-15250,Janet Martin,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10000320,Office Supplies,Wire and Cables,GBC Plastic Binding Combs,41.328,7,14.9814,0,COD
6128,CA-2019-124100,31-03-2019,06-04-2019,Standard Class,EH-13990,Erica Hackney,Consumer,India,Karnataka,Bangalore,South,FUR-CH-10003817,Furniture,Modular Switches,"Global Value Steno Chair, Gray",327.996,6,54.666,0,COD
453,CA-2019-166674,01-04-2019,03-04-2019,Second Class,RB-19360,Raymond Buch,Consumer,India,Karnataka,Bangalore,South,TEC-PH-10002365,Technology,LED,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,35.12,4,9.1312,0,Online
4092,CA-2019-161473,01-04-2019,05-04-2019,Standard Class,TB-21175,Thomas Boland,Corporate,India,Karnataka,Bangalore,South,OFF-BI-10003305,Office Supplies,Wire and Cables,Avery Hanging File Wire and Cables,14.352,3,4.6644,0,COD
5142,CA-2019-111213,01-04-2019,05-04-2019,Standard Class,FP-14320,Frank Preis,Consumer,India,Karnataka,Bangalore,South,FUR-CH-10000454,Furniture,Modular Switches,"Hon Deluxe Fabric Upholstered Stacking Modular Switches, Rounded Back",1317.492,6,292.776,0,COD
5144,CA-2019-111213,01-04-2019,05-04-2019,Standard Class,FP-14320,Frank Preis,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10004140,Office Supplies,Wire and Cables,Avery Non-Stick Wire and Cables,3.592,1,1.1225,0,COD
5440,CA-2019-167115,04-04-2019,09-04-2019,Standard Class,EH-14185,Evan Henry,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10004600,Office Supplies,Wire and Cables,Ibico Ibimaster 300 Manual Binding System,588.784,2,183.995,0,COD
8228,CA-2019-123050,04-04-2019,08-04-2019,Second Class,BC-11125,Becky Castell,Home Office,India,Karnataka,Bangalore,South,FUR-FU-10000723,Furniture,MCBs & DBs,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",82.64,2,7.4376,0,Online
8230,CA-2019-123050,04-04-2019,08-04-2019,Second Class,BC-11125,Becky Castell,Home Office,India,Karnataka,Bangalore,South,TEC-AC-10001109,Technology,Electrical Fans,Logitech Trackman Marble Mouse,89.97,3,37.7874,0,COD
4735,CA-2019-120530,07-04-2019,12-04-2019,Standard Class,Dl-13600,Dorris liebe,Corporate,India,Karnataka,Bangalore,South,FUR-CH-10000454,Furniture,Modular Switches,"Hon Deluxe Fabric Upholstered Stacking Modular Switches, Rounded Back",658.746,3,146.388,0,Online
4196,CA-2019-124233,08-04-2019,14-04-2019,Standard Class,CK-12595,Clytie Kelty,Consumer,India,Kerela,Kerela,South,FUR-FU-10002597,Furniture,MCBs & DBs,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",24.7,5,10.374,0,Online
4501,CA-2019-124814,10-04-2019,16-04-2019,Standard Class,FM-14215,Filia McAdams,Corporate,India,Kerela,Kerela,South,OFF-BI-10000174,Office Supplies,Wire and Cables,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Wire and Cables, Clear",23.2,5,8.12,0,COD
6736,CA-2019-123358,10-04-2019,17-04-2019,Standard Class,BT-11680,Brian Thompson,Consumer,India,Kerela,Kerela,South,OFF-AP-10004980,Office Supplies,Home Automation,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,113.76,3,44.3664,0,COD
6739,CA-2019-123358,10-04-2019,17-04-2019,Standard Class,BT-11680,Brian Thompson,Consumer,India,Kerela,Kerela,South,OFF-BI-10000069,Office Supplies,Wire and Cables,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",48.032,4,15.6104,0,Online
5775,CA-2019-142398,12-04-2019,16-04-2019,Standard Class,BP-11290,Beth Paige,Consumer,India,Kerela,Kerela,South,FUR-CH-10001545,Furniture,Modular Switches,Hon Comfortask Task/Swivel Modular Switches,638.288,7,-31.9144,0,Online
5776,CA-2019-142398,12-04-2019,16-04-2019,Standard Class,BP-11290,Beth Paige,Consumer,India,Kerela,Kerela,South,OFF-BI-10004826,Office Supplies,Wire and Cables,JM Magazine Binder,13.208,1,4.6228,0,COD
7362,CA-2019-163594,12-04-2019,14-04-2019,First Class,JF-15295,Jason Fortune-,Consumer,India,Kerela,Kerela,South,FUR-CH-10000225,Furniture,Modular Switches,"Global Geo Office Task Chair, Gray",194.352,3,-36.441,0,COD
7363,CA-2019-163594,12-04-2019,14-04-2019,First Class,JF-15295,Jason Fortune-,Consumer,India,Kerela,Kerela,South,OFF-BI-10003707,Office Supplies,Wire and Cables,Aluminum Screw Posts,36.624,3,13.734,0,COD
418,CA-2019-148796,14-04-2019,18-04-2019,Standard Class,PB-19150,Philip Brown,Consumer,India,Kerela,Kerela,South,FUR-CH-10004886,Furniture,Modular Switches,Bevis Steel Folding Modular Switches,383.8,5,38.38,0,Online
552,CA-2019-136406,15-04-2019,17-04-2019,Second Class,BD-11320,Bill Donatelli,Consumer,India,Kerela,Kerela,South,FUR-CH-10002024,Furniture,Modular Switches,HON 5400 Series Task Modular Switches for Big and Tall,1121.568,2,0,0,Online
1605,US-2019-115819,19-04-2019,24-04-2019,Second Class,JO-15280,Jas O'Carroll,Consumer,India,Kerela,Kerela,South,TEC-PH-10004700,Technology,LED,PowerGen Dual USB Car Charger,39.96,5,12.987,0,Cards
1608,US-2019-115819,19-04-2019,24-04-2019,Second Class,JO-15280,Jas O'Carroll,Consumer,India,Kerela,Kerela,South,OFF-BI-10000050,Office Supplies,Wire and Cables,"Angle-D Wire and Cables with Locking Rings, Label Holders",5.84,1,1.971,0,Online
1610,US-2019-115819,19-04-2019,24-04-2019,Second Class,JO-15280,Jas O'Carroll,Consumer,India,Kerela,Kerela,South,OFF-BI-10000591,Office Supplies,Wire and Cables,Avery Binder Labels,9.336,3,3.2676,0,COD
7108,CA-2019-109666,19-04-2019,26-04-2019,Standard Class,KM-16720,Kunst Miller,Consumer,India,Karnataka,Bangalore,South,TEC-PH-10004774,Technology,LED,Gear Head AU3700S Headset,25.98,2,0.7794,0,Online
7114,CA-2019-109666,19-04-2019,26-04-2019,Standard Class,KM-16720,Kunst Miller,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10000174,Office Supplies,Wire and Cables,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Wire and Cables, Clear",9.28,2,3.248,0,COD
1886,CA-2019-147578,22-04-2019,26-04-2019,Second Class,PG-18895,Paul Gonzalez,Consumer,India,Kerela,Kerela,South,FUR-FU-10001889,Furniture,MCBs & DBs,Ultra Door Pull Handle,31.56,3,10.4148,0,Online
324,CA-2019-162138,23-04-2019,27-04-2019,Standard Class,GK-14620,Grace Kelly,Corporate,India,Kerela,Kerela,South,OFF-BI-10004593,Office Supplies,Wire and Cables,Ibico Laser Imprintable Binding System Covers,251.52,6,81.744,0,Online
325,CA-2019-162138,23-04-2019,27-04-2019,Standard Class,GK-14620,Grace Kelly,Corporate,India,Kerela,Kerela,South,TEC-AC-10001908,Technology,Electrical Fans,Logitech Wireless Headset h800,99.99,1,34.9965,0,Cards
9668,CA-2019-126270,23-04-2019,27-04-2019,Standard Class,AF-10870,Art Ferguson,Consumer,India,Kerela,Kerela,South,OFF-BI-10002764,Office Supplies,Wire and Cables,Recycled Pressboard Report Cover with Reinforced Top Hinge,18.088,7,6.5569,0,Cards
3235,CA-2019-138933,24-04-2019,27-04-2019,First Class,JL-15130,Jack Lebron,Consumer,India,Kerela,Kerela,South,OFF-BI-10003355,Office Supplies,Wire and Cables,Cardinal Holdit Business Card Pockets,3.984,1,1.3944,0,Online
4648,CA-2019-139556,26-04-2019,01-05-2019,Standard Class,DB-13360,Dennis Bolton,Home Office,India,Karnataka,Bangalore,South,FUR-CH-10004983,Furniture,Modular Switches,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,434.646,3,62.7822,0,Online
2614,CA-2019-137204,28-04-2019,05-05-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,India,Kerela,Kerela,South,FUR-CH-10002304,Furniture,Modular Switches,"Global Stack Chair without Arms, Black",41.568,2,2.598,0,Cards
1716,CA-2019-154788,30-04-2019,04-05-2019,Standard Class,JL-15835,John Lee,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10003314,Office Supplies,Wire and Cables,Tuff Stuff Recycled Round Ring Wire and Cables,7.712,2,2.7956,0,Online
3238,CA-2019-146836,02-05-2019,02-05-2019,Same Day,CC-12475,Cindy Chapman,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10000315,Office Supplies,Wire and Cables,Poly Designer Cover & Back,45.576,3,15.9516,0,Online
9851,CA-2019-158155,02-05-2019,06-05-2019,Standard Class,EH-13765,Edward Hooks,Corporate,India,Karnataka,Bangalore,South,FUR-FU-10000732,Furniture,MCBs & DBs,Eldon 200 Class Desk Electrical Fans,12.56,2,4.0192,0,Online
9852,CA-2019-158155,02-05-2019,06-05-2019,Standard Class,EH-13765,Edward Hooks,Corporate,India,Karnataka,Bangalore,South,OFF-BI-10001670,Office Supplies,Wire and Cables,Vinyl Sectional Post Wire and Cables,90.48,3,33.93,0,Cards
9854,CA-2019-158155,02-05-2019,06-05-2019,Standard Class,EH-13765,Edward Hooks,Corporate,India,Karnataka,Bangalore,South,FUR-FU-10002253,Furniture,MCBs & DBs,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",214.7,5,83.733,0,Cards
2590,CA-2019-137729,05-05-2019,09-05-2019,Standard Class,BF-11005,Barry Franz,Home Office,India,Kerela,Kerela,South,TEC-PH-10001433,Technology,LED,Cisco Small Business SPA 502G VoIP phone,246.168,3,21.5397,0,Cards
2820,CA-2019-160500,05-05-2019,08-05-2019,First Class,DM-13015,Darrin Martin,Consumer,India,Kerela,Kerela,South,OFF-BI-10003784,Office Supplies,Wire and Cables,Computer Printout Index Tabs,6.72,5,2.352,0,Cards
9676,CA-2019-137393,06-05-2019,10-05-2019,Standard Class,GM-14500,Gene McClure,Consumer,India,Kerela,Kerela,South,FUR-FU-10001617,Furniture,MCBs & DBs,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",41.6,4,14.144,0,COD
2180,CA-2019-128818,07-05-2019,11-05-2019,Standard Class,CJ-12010,Caroline Jumper,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10000309,Office Supplies,Wire and Cables,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",85.232,7,30.8966,0,Cards
2182,CA-2019-128818,07-05-2019,11-05-2019,Standard Class,CJ-12010,Caroline Jumper,Consumer,India,Karnataka,Bangalore,South,FUR-CH-10002084,Furniture,Modular Switches,Hon Mobius Operator's Chair,442.764,4,59.0352,0,COD
2184,CA-2019-128818,07-05-2019,11-05-2019,Standard Class,CJ-12010,Caroline Jumper,Consumer,India,Karnataka,Bangalore,South,TEC-AC-10001767,Technology,Electrical Fans,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,199.95,5,21.9945,0,Online
2185,CA-2019-128818,07-05-2019,11-05-2019,Standard Class,CJ-12010,Caroline Jumper,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10001940,Furniture,MCBs & DBs,Staple-based wall hangings,63.68,8,28.0192,0,COD
9272,CA-2019-100510,12-05-2019,17-05-2019,Standard Class,HM-14860,Harry Marie,Corporate,India,Karnataka,Bangalore,South,FUR-FU-10000320,Furniture,MCBs & DBs,OIC Stacking Trays,10.02,3,4.4088,0,Cards
9273,CA-2019-100510,12-05-2019,17-05-2019,Standard Class,HM-14860,Harry Marie,Corporate,India,Karnataka,Bangalore,South,TEC-PH-10001835,Technology,LED,Jawbone JAMBOX Wireless Bluetooth Speaker,631.96,4,303.3408,0,COD
9496,US-2019-123610,12-05-2019,16-05-2019,Standard Class,VM-21835,Vivian Mathis,Consumer,India,Kerela,Kerela,South,TEC-AC-10004518,Technology,Electrical Fans,Memorex Mini Travel Drive 32 GB USB 2.0 Flash Drive,120,6,46.8,0,Cards
9497,US-2019-123610,12-05-2019,16-05-2019,Standard Class,VM-21835,Vivian Mathis,Consumer,India,Kerela,Kerela,South,OFF-AP-10002222,Office Supplies,Home Automation,Staple holder,8.67,1,2.3409,0,COD
4830,CA-2019-152408,15-05-2019,21-05-2019,Standard Class,TT-21220,Thomas Thornton,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10002393,Office Supplies,Wire and Cables,Binder Posts,13.776,3,4.4772,0,Cards
9610,CA-2019-130638,16-05-2019,19-05-2019,Second Class,SC-20095,Sanjit Chand,Consumer,India,Kerela,Kerela,South,FUR-FU-10002116,Furniture,MCBs & DBs,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",282.84,4,19.7988,0,Cards
1717,CA-2019-169943,19-05-2019,24-05-2019,Standard Class,BN-11515,Bradley Nguyen,Consumer,India,Karnataka,Bangalore,South,OFF-AP-10001563,Office Supplies,Home Automation,Belkin Premiere Surge Master II 8-outlet surge protector,242.9,5,70.441,0,COD
1719,CA-2019-169943,19-05-2019,24-05-2019,Standard Class,BN-11515,Bradley Nguyen,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10002088,Furniture,MCBs & DBs,Nu-Dell Float Frame 11 x 14 1/2,35.92,4,15.0864,0,Cards
1720,CA-2019-169943,19-05-2019,24-05-2019,Standard Class,BN-11515,Bradley Nguyen,Consumer,India,Karnataka,Bangalore,South,FUR-FU-10000010,Furniture,MCBs & DBs,"DAX Value U-Channel Document Frames, Easel Back",39.76,8,12.3256,0,Cards
1721,CA-2019-169943,19-05-2019,24-05-2019,Standard Class,BN-11515,Bradley Nguyen,Consumer,India,Karnataka,Bangalore,South,OFF-BI-10002824,Office Supplies,Wire and Cables,Recycled Easel Ring Wire and Cables,47.744,4,14.92,0,Cards
2499,CA-2019-126935,19-05-2019,24-05-2019,Standard Class,BT-11395,Bill Tyler,Corporate,India,Kerela,Kerela,South,OFF-BI-10004817,Office Supplies,Wire and Cables,GBC Personal VeloBind Strips,9.584,1,3.3544,0,COD
7467,CA-2019-138282,19-05-2019,23-05-2019,Standard Class,AH-10690,Anna Häberlin,Corporate,India,Kerela,Kerela,South,OFF-AP-10001366,Office Supplies,Home Automation,Staple holder,87.84,8,23.7168,0,Cards
639,CA-2019-115917,20-05-2019,25-05-2019,Standard Class,RB-19465,Rick Bensley,Home Office,India,Kerela,Kerela,South,FUR-FU-10000576,Furniture,MCBs & DBs,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,272.792,0,Cards
640,CA-2019-115917,20-05-2019,25-05-2019,Standard Class,RB-19465,Rick Bensley,Home Office,India,Kerela,Kerela,South,OFF-BI-10004728,Office Supplies,Wire and Cables,Wilson Jones Turn Tabs Binder Tool for Ring Wire and Cables,15.424,4,5.0128,0,COD
